,cpi_date,gb_date,fomc_date,branch,speaker,y_actual,y_speech_implied
0,02/04/1993,17/03/1993,23/03/1993,RIC,broaddus,0.560621585,0.44336444
1,16/03/1995,25/01/1995,01/02/1995,RIC,broaddus,0.260621585,-0.10157368
2,11/01/1996,14/12/1995,19/12/1995,NY,sp,0.060621585,2.5189934
3,25/01/1996,14/12/1995,19/12/1995,NY,sp,0.060621585,2.6107523
4,02/02/1996,26/01/1996,31/01/1996,KC,hoenig,0.260621585,-1.6220647
5,15/02/1996,26/01/1996,31/01/1996,CLE,jordan,0.260621585,-1.8218068
6,20/02/1996,26/01/1996,31/01/1996,CLE,jordan,0.260621585,-2.2617047
7,22/02/1996,26/01/1996,31/01/1996,ATL,guynn,0.260621585,-2.0365005
8,27/02/1996,26/01/1996,31/01/1996,NY,sp,0.260621585,-1.9622055
9,11/03/1996,26/01/1996,31/01/1996,ATL,guynn,0.260621585,-1.7938699
10,19/03/1996,26/01/1996,31/01/1996,CLE,jordan,0.260621585,-1.9530667
11,21/03/1996,21/03/1996,26/03/1996,NY,sp,-0.439378415,-1.2279998
12,23/03/1996,21/03/1996,26/03/1996,NY,sp,-0.439378415,-1.2242521
13,25/03/1996,21/03/1996,26/03/1996,KC,hoenig,-0.439378415,-1.2147136
14,18/04/1996,21/03/1996,26/03/1996,CLE,jordan,-0.439378415,-1.2107629
15,24/04/1996,21/03/1996,26/03/1996,NY,sp,-0.439378415,-1.2221394
16,16/05/1996,16/05/1996,21/05/1996,CLE,jordan,-0.139378415,-0.500126
17,23/05/1996,16/05/1996,21/05/1996,CLE,jordan,-0.139378415,-0.53377265
18,24/05/1996,16/05/1996,21/05/1996,ATL,guynn,-0.139378415,-0.5007512
19,05/06/1996,16/05/1996,21/05/1996,NY,sp,-0.139378415,-0.41961107
20,05/06/1996,16/05/1996,21/05/1996,KC,hoenig,-0.139378415,-0.6445827
21,13/06/1996,16/05/1996,21/05/1996,FOMC,Greenspan,-0.139378415,-0.5167125
22,18/06/1996,16/05/1996,21/05/1996,FOMC,Kelley,-0.139378415,-0.5167125
23,19/06/1996,16/05/1996,21/05/1996,CLE,jordan,-0.139378415,-0.6387585
24,06/08/1996,26/06/1996,03/07/1996,CLE,jordan,0.960621585,-0.83951265
25,08/09/1996,15/08/1996,20/08/1996,FOMC,Meyer,0.860621585,0.11621159
26,11/09/1996,15/08/1996,20/08/1996,NY,sp,0.860621585,0.16108316
27,11/09/1996,15/08/1996,20/08/1996,CLE,jordan,0.860621585,0.13077036
28,18/09/1996,18/09/1996,24/09/1996,CLE,jordan,0.060621585,0.17003295
29,19/09/1996,18/09/1996,24/09/1996,FOMC,Greenspan,0.060621585,0.23679653
30,19/09/1996,18/09/1996,24/09/1996,CLE,jordan,0.060621585,0.20482391
31,01/10/1996,18/09/1996,24/09/1996,CLE,jordan,0.060621585,0.28062388
32,02/10/1996,18/09/1996,24/09/1996,NY,sp,0.060621585,0.2471216
33,02/10/1996,18/09/1996,24/09/1996,FOMC,Lindsey,0.060621585,0.21586108
34,05/10/1996,18/09/1996,24/09/1996,FOMC,Greenspan,0.060621585,0.17330861
35,07/10/1996,18/09/1996,24/09/1996,FOMC,Greenspan,0.060621585,0.17077112
36,08/10/1996,18/09/1996,24/09/1996,CLE,jordan,0.060621585,0.29479346
37,08/10/1996,18/09/1996,24/09/1996,NY,sp,0.060621585,0.40964228
38,09/10/1996,18/09/1996,24/09/1996,FOMC,Lindsey,0.060621585,0.19933528
