,speech_date,gb_date,fomc_date,branch,speaker,y_actual,y_speech_implied
0,02/04/1993,17/03/1993,23/03/1993,RIC,broaddus,-0.219740437,-0.7033363
1,16/03/1995,25/01/1995,01/02/1995,RIC,broaddus,-1.119740437,-1.0725346
2,11/01/1996,14/12/1995,19/12/1995,NY,sp,0.180259563,-0.60658276
3,25/01/1996,14/12/1995,19/12/1995,NY,sp,0.180259563,-0.6670101
4,02/02/1996,26/01/1996,31/01/1996,KC,hoenig,-0.319740437,0.9680184
5,15/02/1996,26/01/1996,31/01/1996,CLE,jordan,-0.319740437,0.982569
6,20/02/1996,26/01/1996,31/01/1996,CLE,jordan,-0.319740437,1.0160758
7,22/02/1996,26/01/1996,31/01/1996,ATL,guynn,-0.319740437,0.95947826
8,27/02/1996,26/01/1996,31/01/1996,NY,sp,-0.319740437,1.1575518
9,11/03/1996,26/01/1996,31/01/1996,ATL,guynn,-0.319740437,0.62029374
10,19/03/1996,26/01/1996,31/01/1996,CLE,jordan,-0.319740437,0.9205979
11,21/03/1996,21/03/1996,26/03/1996,NY,sp,-2.319740437,-0.29804677
12,23/03/1996,21/03/1996,26/03/1996,NY,sp,-2.319740437,-0.33748767
13,25/03/1996,21/03/1996,26/03/1996,KC,hoenig,-2.319740437,-0.4562746
14,18/04/1996,21/03/1996,26/03/1996,CLE,jordan,-2.319740437,-0.36560562
15,24/04/1996,21/03/1996,26/03/1996,NY,sp,-2.319740437,-0.49644685
16,16/05/1996,16/05/1996,21/05/1996,CLE,jordan,-2.519740437,-1.1194772
17,23/05/1996,16/05/1996,21/05/1996,CLE,jordan,-2.519740437,-1.4938986
18,24/05/1996,16/05/1996,21/05/1996,ATL,guynn,-2.519740437,-1.1166923
19,05/06/1996,16/05/1996,21/05/1996,NY,sp,-2.519740437,-1.1542555
20,05/06/1996,16/05/1996,21/05/1996,KC,hoenig,-2.519740437,-1.114307
21,13/06/1996,16/05/1996,21/05/1996,FOMC,Greenspan,-2.519740437,-1.1030078
