,speech_date,gb_date,fomc_date,branch,speaker,y_actual,y_speech_implied
0,02/04/1993,17/03/1993,23/03/1993,RIC,broaddus,-0.181352459,-0.11065833
1,16/03/1995,25/01/1995,01/02/1995,RIC,broaddus,0.218647541,-0.024390223
2,11/01/1996,14/12/1995,19/12/1995,NY,sp,0.018647541,0.05204822
3,25/01/1996,14/12/1995,19/12/1995,NY,sp,0.018647541,0.024715496
4,02/02/1996,26/01/1996,31/01/1996,KC,hoenig,0.018647541,0.44775915
5,15/02/1996,26/01/1996,31/01/1996,CLE,jordan,0.018647541,0.20999347
6,20/02/1996,26/01/1996,31/01/1996,CLE,jordan,0.018647541,0.1827172
7,22/02/1996,26/01/1996,31/01/1996,ATL,guynn,0.018647541,0.18077627
8,27/02/1996,26/01/1996,31/01/1996,NY,sp,0.018647541,0.196657
9,11/03/1996,26/01/1996,31/01/1996,ATL,guynn,0.018647541,0.22446097
10,19/03/1996,26/01/1996,31/01/1996,CLE,jordan,0.018647541,0.1680276
11,21/03/1996,21/03/1996,26/03/1996,NY,sp,0.018647541,0.15585606
12,23/03/1996,21/03/1996,26/03/1996,NY,sp,0.018647541,0.15329447
13,25/03/1996,21/03/1996,26/03/1996,KC,hoenig,0.018647541,0.15387239
14,18/04/1996,21/03/1996,26/03/1996,CLE,jordan,0.018647541,0.14442395
15,24/04/1996,21/03/1996,26/03/1996,NY,sp,0.018647541,0.1565834
16,16/05/1996,16/05/1996,21/05/1996,CLE,jordan,0.018647541,0.012426255
17,23/05/1996,16/05/1996,21/05/1996,CLE,jordan,0.018647541,0.00084403
18,24/05/1996,16/05/1996,21/05/1996,ATL,guynn,0.018647541,-0.007921265
19,05/06/1996,16/05/1996,21/05/1996,NY,sp,0.018647541,0.022515578
20,05/06/1996,16/05/1996,21/05/1996,KC,hoenig,0.018647541,0.011317087
21,13/06/1996,16/05/1996,21/05/1996,FOMC,Greenspan,0.018647541,0.05275069
22,18/06/1996,16/05/1996,21/05/1996,FOMC,Kelley,0.018647541,0.05275069
23,19/06/1996,16/05/1996,21/05/1996,CLE,jordan,0.018647541,0.012021286
24,06/08/1996,26/06/1996,03/07/1996,CLE,jordan,0.018647541,-0.074487135
25,08/09/1996,15/08/1996,20/08/1996,FOMC,Meyer,0.118647541,0.01477216
26,11/09/1996,15/08/1996,20/08/1996,NY,sp,0.118647541,0.06281699
27,11/09/1996,15/08/1996,20/08/1996,CLE,jordan,0.118647541,0.019080622
28,18/09/1996,18/09/1996,24/09/1996,CLE,jordan,0.018647541,0.07332431
29,19/09/1996,18/09/1996,24/09/1996,FOMC,Greenspan,0.018647541,0.09418936
30,19/09/1996,18/09/1996,24/09/1996,CLE,jordan,0.018647541,0.12802479
31,01/10/1996,18/09/1996,24/09/1996,CLE,jordan,0.018647541,0.10286258
32,02/10/1996,18/09/1996,24/09/1996,NY,sp,0.018647541,0.09020533
33,02/10/1996,18/09/1996,24/09/1996,FOMC,Lindsey,0.018647541,0.1386577
34,05/10/1996,18/09/1996,24/09/1996,FOMC,Greenspan,0.018647541,0.06967805
35,07/10/1996,18/09/1996,24/09/1996,FOMC,Greenspan,0.018647541,0.09098743
36,08/10/1996,18/09/1996,24/09/1996,CLE,jordan,0.018647541,0.06563948
37,08/10/1996,18/09/1996,24/09/1996,NY,sp,0.018647541,0.1353867
